A0A1F4	346007	21555	1.01
A0A1F4	389405	-	1.01
A0A1F4	3339	5273	0.93
A0A1F4	375790	329	0.47
A0A1F4	23418	2343	0.91
A0A1F4	1463	2465	0.91
A0A1F4	1462	2464	0.91
A0A1F4	133584	26810	0.0
A0AQH0	5694	9543	0.87
A0AQH0	5698	9546	0.77
A0AVU4	6865	11527	0.81
A0AVU4	6870	11528	0.79
A0AVU4	6869	11526	0.77
A0AVU4	2826	4474	0.95
A0AVU4	101060233	-	0.91
A0AVU4	5956	9936	0.91
A0AVU4	54328	18186	0.91
A0AVU4	2850	4482	0.91
A0AVU4	23596	14007	0.91
A0AVU4	6010	10012	0.91
A0AVU4	54329	4536	0.91
A0AVU4	611	1012	0.91
A0AVU6	22826	15470	0.87
A0AVV3	644168	21536	0.96
A0AVV3	401	691	1.0
A0AVV3	8929	9143	1.0
A0AVV3	10265	14361	1.01
A0AVV3	8092	1494	1.0
A0AVV3	1406	2383	0.91
A0AVV3	5013	8521	0.91
A0AVW1	150696	20685	0.97
A0AVW1	8842	9454	0.96
A0T1Z4	54566	19818	0.83
A0T1Z4	57669	19819	0.82
A0T1Z5	54566	19818	0.83
A0T1Z5	57669	19819	0.82
A1A6Q5	97	179	0.81
A1A6Q5	98	180	0.73
A1A6X2	389203	37260	1.0
A1A703	51422	9386	0.84
A1A703	5571	9385	0.81
A1A703	53632	9387	0.95
A1A714	25829	1310	0.86
A1A714	202915	28797	0.79
A1A714	55751	25587	0.95
A1A735	80305	28805	0.84
A1YK02	79902	8734	0.87
A1Z6E0	80176	30628	0.84
A1Z6E0	92369	30630	0.82
A1Z6E0	84727	29522	0.95
A1Z6E6	5977	9964	0.86
A1Z6E6	8193	20225	0.8
A1Z6E6	8110	17427	0.74
A1Z6E8	83444	13324	0.82
A1Z6E8	23559	12737	0.93
A1Z6F0	90410	30989	0.85
A1Z6F4	1356	2295	1.0
A1Z6F4	341208	30477	1.0
A1Z6F4	9843	4866	1.0
A1Z6F6	1356	2295	1.0
A1Z6F6	341208	30477	1.0
A1Z6F6	9843	4866	1.0
A1Z6G3	51024	21689	0.84
A1Z6G4	116151	16102	0.78
A1Z6G6	57147	19285	0.86
A1Z6G9	79639	26186	0.87
A1Z6G9	84284	28204	1.0
A1Z6H3	9229	2905	0.8
A1Z6H3	9228	2906	0.77
A1Z6H3	58512	30368	0.77
A1Z6H3	22839	24476	0.77
A1Z6H3	9787	16864	0.0
A1Z6H4	9229	2905	0.8
A1Z6H4	9228	2906	0.77
A1Z6H4	58512	30368	0.77
A1Z6H4	22839	24476	0.77
A1Z6H4	9787	16864	0.0
A1Z6H6	4285	7104	0.86
A1Z6H6	7064	11793	0.95
A1Z6H7	23225	30052	0.87
A1Z6H7	91181	29915	0.79
A1Z6H7	255330	27399	0.91
A1Z6H9	2264	3691	0.91
A1Z6H9	2261	3690	0.91
A1Z6I3	57529	29245	0.91
A1Z6I4	6515	11007	0.93
A1Z6I4	6517	11009	0.93
A1Z6I4	6514	11006	0.93
A1Z6I4	144195	18301	0.93
A1Z6I4	6513	11005	0.93
A1Z6I4	155184	13445	0.0
A1Z6I4	6518	11010	0.0
A1Z6I7	699	1148	0.96
A1Z6I7	701	1149	0.76
A1Z6I8	1660	2750	0.87
A1Z6I8	54505	15815	0.9
A1Z6I8	170506	14410	0.9
A1Z6I8	90957	20086	0.9
A1Z6I9	2444	3955	0.86
A1Z6I9	2534	4037	0.95
A1Z6I9	7525	12841	0.95
A1Z6I9	2268	3697	0.9
A1Z6I9	6714	11283	0.9
A1Z6J2	22937	30634	0.87
A1Z6J2	6468	10847	0.91
A1Z6J2	26259	13597	0.91
A1Z6J4	6905	11582	0.85
A1Z6J4	219899	28115	1.0
A1Z6J5	6905	11582	0.85
A1Z6J5	219899	28115	1.0
A1Z6K0	26995	17170	0.87
A1Z6K0	142940	16060	1.0
A1Z6K7	8665	3275	0.94
A1Z6K7	390282	-	0.95
A1Z6L1	10452	18001	0.84
A1Z6L1	84134	25756	0.79
A1Z6L3	121536	24051	0.75
A1Z6L9	10131	16264	0.87
A1Z6M0	196528	18037	0.86
A1Z6M6	7268	12394	0.86
A1Z6M6	54970	23700	1.0
A1Z6M8	26035	17855	0.87
A1Z6N2	1644	2719	0.95
A1Z6N2	3067	4855	0.97
A1Z6N4	1644	2719	0.96
A1Z6N4	3067	4855	0.97
A1Z6N5	55572	26927	0.86
A1Z6P0	27173	12876	0.79
A1Z6P0	29985	17128	0.75
A1Z6P0	29986	17127	0.46
A1Z6P2	54431	24637	0.91
